Country Name;Surface area (sq.km)_2020
Afghanistan;652860
Albania;28750
Algeria;2381741
American Samoa;200
Andorra;470
Angola;1246700
Antigua and Barbuda;440
Argentina;2780400
Armenia;29740
Aruba;180
Australia;7741220
Austria;83879
Azerbaijan;86600
Bahamas, The;13880
Bahrain;785
Bangladesh;147570
Barbados;430
Belarus;207610
Belgium;30530
Belize;22970
Benin;114760
Bermuda;4290
Bhutan;38390
Bolivia;1098580
Bosnia and Herzegovina;51210
Botswana;581730
Brazil;8515770
British Virgin Islands;150
Brunei Darussalam;5770
Bulgaria;111000
Burkina Faso;274220
Burundi;27830
Cabo Verde;4030
Cambodia;181040
Cameroon;475440
Canada;9879750
Cayman Islands;264
Central African Republic;622980
Chad;1284000
Chile;756700
China;9600012.9
Colombia;1140619.05
Comoros;1861
Congo, Dem. Rep.;2344860
Congo, Rep.;342000
Costa Rica;51100
Cote d'Ivoire;322460
Croatia;88070
Cuba;109880
Curacao;444
Cyprus;9250
Czechia;78871.01
Denmark;42920
Djibouti;23200
Dominica;750
Dominican Republic;48670
Ecuador;256370
Egypt, Arab Rep.;1001450
El Salvador;21040
Equatorial Guinea;28050
Eritrea;121630.327
Estonia;45340
Eswatini;17360
Ethiopia;1136239.544
Faroe Islands;12959.67
Fiji;18270
Finland;338460
France;549086.87
French Polynesia;3471
Gabon;267670
Gambia, The;11300
Georgia;69700
Germany;357590
Ghana;238530
Gibraltar;10
Greece;131960
Greenland;410450
Grenada;340
Guam;540
Guatemala;108890
Guinea;245860
Guinea-Bissau;36130
Guyana;214970
Haiti;27750
Honduras;112490
Hong Kong SAR, China;1110
Hungary;93030
Iceland;103000
India;3287260
Indonesia;1916906.77
Iran, Islamic Rep.;1745150
Iraq;435052
Ireland;70280
Isle of Man;570
Israel;22070
Italy;302068
Jamaica;10990
Japan;377974
Jordan;89318
Kazakhstan;2724900
Kenya;580370
Kiribati;810
Korea, Dem. People's Rep.;120540
Korea, Rep.;100410
Kuwait;17820
Kyrgyz Republic;199950
Lao PDR;236800
Latvia;64590
Lebanon;10450
Lesotho;30360
Liberia;111370
Libya;1759540
Liechtenstein;160
Lithuania;65290
Luxembourg;2590
Macao SAR, China;32.9
Madagascar;587295
Malawi;118480
Malaysia;330241
Maldives;300
Mali;1240190
Malta;320
Marshall Islands;180
Mauritania;1030700
Mauritius;2040
Mexico;1964375
Micronesia, Fed. Sts.;700
Moldova;33850
Monaco;74.92
Mongolia;1564115.749
Montenegro;13810
Morocco;446550
Mozambique;799380
Myanmar;676590
Namibia;824290
Nauru;20
Nepal;147180
Netherlands;41540
New Caledonia;18580
New Zealand;267710
Nicaragua;130370
Niger;1267000
Nigeria;923770
North Macedonia;25710
Northern Mariana Islands;460
Norway;624499
Oman;309500
Pakistan;796100
Palau;460
Panama;75320
Papua New Guinea;462840
Paraguay;406752
Peru;1285220
Philippines;300000
Poland;312710
Portugal;92230
Puerto Rico;8870
Qatar;11490
Romania;238400
Russian Federation;17098250
Rwanda;26340
Samoa;2840
San Marino;60
Sao Tome and Principe;960
Saudi Arabia;2149690
Senegal;196710
Serbia;84990
Seychelles;460
Sierra Leone;72300
Singapore;728
Sint Maarten (Dutch part);34
Slovak Republic;49030
Slovenia;20480
Solomon Islands;28900
Somalia;637660
South Africa;1219090
South Sudan;646883
Spain;505969.891
Sri Lanka;65610
St. Kitts and Nevis;260
St. Lucia;620
St. Martin (French part);50
St. Vincent and the Grenadines;390
Sudan;1878000
Suriname;163820
Sweden;528860.704
Switzerland;41290.39
Syrian Arab Republic;185180
Tajikistan;141380
Tanzania;947300
Thailand;513120
Timor-Leste;14870
Togo;56790
Tonga;750
Trinidad and Tobago;5130
Tunisia;163610
Turkiye;785350
Turkmenistan;488100
Turks and Caicos Islands;950
Tuvalu;30
Uganda;241550
Ukraine;603550
United Arab Emirates;98647.9
United Kingdom;243610
United States;9831510
Uruguay;176220
Uzbekistan;448924
Vanuatu;12190
Venezuela, RB;912050
Vietnam;331340
Virgin Islands (U.S.);350
West Bank and Gaza;6020
Yemen, Rep.;527970
Zambia;752610
Zimbabwe;390760
